"Voucher No.","Date","Amount","Why it is flagged","Recommended action"
"JV/24-25/027","2025-03-13","IDR 369,300.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/24-25/028","2025-03-13","IDR 350,915.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/24-25/026","2025-03-13","IDR 500,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/24-25/030","2025-03-21","IDR 110,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"2103/FTSCY/WS95051","2025-03-21","IDR 250,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/24-25/032","2025-03-27","IDR 4,500,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/24-25/035","2025-03-27","IDR 3,800,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/24-25/034","2025-03-27","IDR 3,500,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/24-25/033","2025-03-27","IDR 1,000,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/24-25/037","2025-03-31","USD 5.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/24-25/036","2025-03-31","IDR 30,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/25-26/002","2025-04-09","IDR 7,000,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/25-26/004","2025-04-14","IDR 5,000,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/25-26/006","2025-04-15","IDR 5,000,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/25-26/008","2025-04-21","IDR 305,318.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/25-26/007","2025-04-21","IDR 385,800.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/25-26/010","2025-04-25","IDR 889,500.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/25-26/015","2025-04-30","IDR 1,000,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/25-26/013","2025-04-30","IDR 3,500,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/25-26/012","2025-04-30","USD 5.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/25-26/016","2025-04-30","IDR 3,800,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/25-26/011","2025-04-30","IDR 30,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/25-26/014","2025-04-30","IDR 4,500,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/25-26/018","2025-05-09","IDR 3,300,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/25-26/020","2025-05-19","IDR 552,355.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/25-26/022","2025-05-19","IDR 6,600,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/25-26/021","2025-05-19","IDR 369,300.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/25-26/024","2025-05-28","IDR 3,800,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/25-26/026","2025-05-28","IDR 1,000,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/25-26/027","2025-05-28","IDR 3,000,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/25-26/025","2025-05-28","IDR 4,500,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/25-26/029","2025-05-31","USD 5.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/25-26/028","2025-05-31","IDR 30,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/25-26/037","2025-06-21","IDR 8,000,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/25-26/053","2025-06-30","USD 5.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/25-26/054","2025-06-30","IDR 30,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/25-26/083","2025-07-31","IDR 30,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/25-26/081","2025-07-31","USD 5.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/25-26/082","2025-07-31","IDR 623,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/25-26/090","2025-08-01","IDR 75,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/25-26/087","2025-08-01","IDR 3,500,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/25-26/093","2025-08-16","IDR 8,000,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/25-26/095","2025-08-19","IDR 5,000,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/25-26/097","2025-08-21","IDR 812,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/25-26/099","2025-08-27","IDR 5,000,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/25-26/103","2025-08-31","IDR 30,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/25-26/104","2025-08-31","USD 5.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/25-26/120","2025-09-11","IDR 2,500.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/25-26/119","2025-09-11","IDR 145,000,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/25-26/123","2025-09-13","IDR 5,000,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/25-26/126","2025-09-15","IDR 150,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/25-26/134","2025-09-17","IDR 1,000,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/25-26/133","2025-09-18","IDR 170,811.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/25-26/129","2025-09-18","IDR 369,300.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JV/25-26/139","2025-09-23","IDR 50,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2509-0025","2025-09-30","USD 5.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2509-0024","2025-09-30","IDR 30,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2510-0001","2025-10-01","IDR 413,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2510-0004","2025-10-01","IDR 4,500,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2509-0020","2025-10-01","IDR 1,000,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2510-0003","2025-10-01","IDR 776,500.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2510-0005","2025-10-07","IDR 1,000,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2510-0010","2025-10-10","IDR 240,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2510-0011","2025-10-10","IDR 2,500.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2510-0007","2025-10-13","IDR 275,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2510-0012","2025-10-13","IDR 165,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2510-0015","2025-10-14","IDR 2,500.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2510-0019","2025-10-17","IDR 380,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2510-0020","2025-10-17","IDR 2,500.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2510-0018","2025-10-17","IDR 145,000,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2510-0023","2025-10-20","IDR 200,633.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2510-0021","2025-10-20","IDR 776,500.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2510-0022","2025-10-20","IDR 369,300.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2510-0025","2025-10-21","IDR 196,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2510-0027","2025-10-21","IDR 2,500.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2510-0024","2025-10-21","IDR 12,000,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2510-0026","2025-10-22","IDR 180,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2510-0028","2025-10-23","IDR 680,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2510-0030","2025-10-24","IDR 285,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2510-0029","2025-10-24","IDR 4,000,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2510-0059","2025-10-25","IDR 180,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2510-0031","2025-10-27","IDR 145,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2510-0032","2025-10-27","IDR 600,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2510-0042","2025-10-29","IDR 137,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2510-0035","2025-10-29","IDR 50,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2510-0039","2025-10-29","IDR 50,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2510-0037","2025-10-29","IDR 50,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2510-0036","2025-10-29","IDR 50,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2510-0034","2025-10-29","IDR 50,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2510-0040","2025-10-29","IDR 50,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2510-0038","2025-10-29","IDR 50,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2510-0055","2025-10-31","USD 5.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2510-0044","2025-10-31","IDR 50,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2510-0046","2025-10-31","IDR 50,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2510-0054","2025-10-31","IDR 30,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2510-0045","2025-10-31","IDR 50,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2510-0043","2025-10-31","IDR 50,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2510-0060","2025-10-31","USD 5.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2511-0007","2025-11-04","IDR 369,300.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2511-0016","2025-11-06","IDR 212,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2511-0031","2025-11-12","IDR 195,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2511-0034","2025-11-13","IDR 2,500.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2511-0040","2025-11-19","IDR 213,543.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2511-0041","2025-11-19","IDR 704,990.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2511-0039","2025-11-19","IDR 139,671.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2511-0052","2025-11-24","IDR 83,400.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2511-0059","2025-11-25","IDR 105,500.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2511-0058","2025-11-25","IDR 3,300,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2511-0063","2025-11-28","IDR 5,000,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2511-0069","2025-11-30","USD 5.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2511-0075","2025-11-30","USD 5.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2511-0068","2025-11-30","IDR 30,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2512-0076","2025-12-01","IDR 2,500.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2511-0067","2025-12-01","IDR 4,500,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
"JE2512-0075","2025-12-01","IDR 3,000,000.00","The voucher is linked to a bank transaction, but its journal was posted to Cash on Hand or another account instead of the bank account.","Keep the record. An accountant should post a correcting/reclassification journal or formally reverse and repost it."
